pmoA-amoA	<a href="https://www.ncbi.nlm.nih.gov/Structure/cdd/TIGR03080" target="_blank">TIGR03080</a> - methane monooxygenase/ammonia monooxygenase, subunit A
pmoB-amoB	<a href="https://www.ncbi.nlm.nih.gov/Structure/cdd/TIGR03079" target="_blank">TIGR03079</a> - methane monooxygenase/ammonia monooxygenase, subunit B
pmoC-amoC	<a href="https://www.ncbi.nlm.nih.gov/Structure/cdd/TIGR03078" target="_blank">TIGR03078</a> - methane monooxygenase/ammonia monooxygenase, subunit C
mmoB	<a href="https://pfam.xfam.org/family/PF02406" target="_blank">PF02406</a> - MmoB/DmpM family
mmoD	<a href="https://www.ncbi.nlm.nih.gov/Structure/cdd/TIGR04550" target="_blank">TIGR04550</a> - soluble methane monooxygenase-binding protein MmoD
mcrA	<a href="https://www.ncbi.nlm.nih.gov/Structure/cdd/TIGR03256" target="_blank">TIGR03256</a> - methyl-coenzyme M reductase, alpha subunit
mcrB	<a href="https://www.ncbi.nlm.nih.gov/Structure/cdd/TIGR03257" target="_blank">TIGR03257</a> - methyl-coenzyme M reductase, beta subunit
mcrG	<a href="https://www.ncbi.nlm.nih.gov/Structure/cdd/TIGR03259" target="_blank">TIGR03259</a> - methyl-coenzyme M reductase, gamma subunit
