#ENV_ID	MT_ID	ID_DISP	CAT_ID	CAT_DISP	SUBCAT(s)	SUBCAT(s)_COL_DISP
codh_delta	acsD	cdhD	CFix	Carbon Fixation	Wood-Ljungdahl pathway	WL
coxL	coxL	coxL	CO	Carbon Monoxide	CO oxidation	CO-Ox
coxM	coxM	coxM	CO	Carbon Monoxide	CO oxidation	CO-Ox
coxS	coxS	coxS	CO	Carbon Monoxide	CO oxidation	CO-Ox
one_C_fae	fae-hps	fae	C1	C1 Compounds	Formaldehyde oxidation	CH2O-Ox
fdhA_non_GSH	fdhA	fdhA	C1	C1 Compounds	Formaldehyde oxidation	CH2O-Ox
one_C_fhcD	ftr	fhcD	C1	C1 Compounds	Formaldehyde oxidation	CH2O-Ox
one_C_mch	mtdch	mch	C1	C1 Compounds	Formaldehyde oxidation	CH2O-Ox
adh_III_F_hyde	frmA	ADH	C1	C1 Compounds	Formaldehyde oxidation	CH2O-Ox
fghA_ester_D	frmB	fghA	C1	C1 Compounds	Formaldehyde oxidation	CH2O-Ox
mycoS_dep_FDH	E1.1.1.306	MycoS_dep_FDH	C1	C1 Compounds	Formaldehyde oxidation	CH2O-Ox
fdh_alpha	fdh.NADP+A	fdhA	C1	C1 Compounds	Formate oxidation	CH2O2-Ox
fdh_beta	fdh.NADP+B	fdhB	C1	C1 Compounds	Formate oxidation	CH2O2-Ox
fdh_gamma	fdoI	FDH_gamma	C1	C1 Compounds	Formate oxidation	CH2O2-Ox
NDMA_methanol	mdo	NDMA_methanol	C1	C1 Compounds	Methanol oxidation	CH3OH-Ox
pqq	pqqC	pqq	C1	C1 Compounds	Methanol oxidation	CH3OH-Ox
madA	mauA	madA	C1	C1 Compounds	Methylamine -> formaldehyde	CH3NH2-DH
madB	mauB	madB	C1	C1 Compounds	Methylamine -> formaldehyde	CH3NH2-DH
FeFe_hydrog_A	hydrogenase_FeFeGroupA1;hydrogenase_FeFeGroupA2;hydrogenase_FeFeGroupA3;hydrogenase_FeFeGroupA4	hydrog_A	H	Hydrogen	Fe-Fe hydrogenase	FeFe-H
FeFe_hydrog_B1	hydrogenase_FeFeGroupB	hydrog_B1	H	Hydrogen	Fe-Fe hydrogenase	FeFe-H
