amoA
amoB
amoC
hzoA
hzsA
Fe_only_alpha
Fe_only_beta
Fe_only_delta
Mo-Fe_type_Alpha
Mo-Fe_type_beta
nifH
Vanadium-type_alpha
Vanadium-type_beta
Vanadium-type_delta
napA
napB
narG
norB
norC
nxrA
nxrB
cyt_c552_large_NrFA
cyt_c552_small_NrfH
nirB
nirD
nirK
nirS
nrfD
nosD
nosZ
octR
