rubisco_form_I	Rubisco Form I <a href="https://doi.org/10.1038/ncomms13219" target="_blank">Custom Model</a>
rubisco_form_II	Rubisco Form II <a href="https://doi.org/10.1038/ncomms13219" target="_blank">Custom Model</a>
rubisco_form_II-III	Rubisco Form II-III <a href="https://doi.org/10.1038/ncomms13219" target="_blank">Custom Model</a>
rubisco_form_III	Rubisco Form III <a href="https://doi.org/10.1038/ncomms13219" target="_blank">Custom Model</a>
aclA	Reverse TCA Cycle aclA <a href="https://doi.org/10.1038/ncomms13219" target="_blank">Custom Model</a>
aclB	Reverse TCA Cycle aclB <a href="https://doi.org/10.1038/ncomms13219" target="_blank">Custom Model</a>
codh_catalytic	<a href="https://www.ncbi.nlm.nih.gov/Structure/cdd/TIGR01702" target="_blank">TIGR01702</a> - carbon-monoxide dehydrogenase, catalytic subunit
codhC_beta	<a href="https://www.ncbi.nlm.nih.gov/Structure/cdd/TIGR00316" target="_blank">TIGR00316</a> - CO dehydrogenase/CO-methylating acetyl-CoA synthase complex, beta subunit
codhD_delta	<a href="https://www.ncbi.nlm.nih.gov/Structure/cdd/TIGR00381" target="_blank">TIGR00381</a> - CO dehydrogenase/acetyl-CoA synthase, delta subunit
