arsC	<a href="https://www.ncbi.nlm.nih.gov/Structure/cdd/TIGR00014" target="_blank">TIGR00014</a> - arsenate reductase (glutaredoxin)
ars_reduc_gluta	<a href="https://www.ncbi.nlm.nih.gov/Structure/cdd/TIGR02689" target="_blank">TIGR02689</a> - glutathione-glutaredoxin_type
arsC_pI258_fam	<a href="https://www.ncbi.nlm.nih.gov/Structure/cdd/TIGR02691" target="_blank">TIGR02691</a> - arsenate reductase (thioredoxin)
arsenite_ox_L	<a href="https://www.ncbi.nlm.nih.gov/Structure/cdd/TIGR02693" target="_blank">TIGR02693</a> - arsenite oxidase, large subunit
arsenite_ox_S	<a href="https://www.ncbi.nlm.nih.gov/Structure/cdd/TIGR02694" target="_blank">TIGR02694</a> - arsenite oxidase, small subunit
