Ribosomal_S8	<a href="https://pfam.xfam.org/family/PF00410" target="_blank">PF00410</a> - Ribosomal protein S8
Ribosomal_L10	<a href="https://pfam.xfam.org/family/PF00466" target="_blank">PF00466</a> - Ribosomal protein L10
ftsY	<a href="https://www.ncbi.nlm.nih.gov/Structure/cdd/TIGR00064" target="_blank">TIGR00064</a> - signal recognition particle-docking protein FtsY
PyrG	<a href="https://www.ncbi.nlm.nih.gov/Structure/cdd/TIGR00337" target="_blank">TIGR00337</a> - CTP synthase
ileS	<a href="https://www.ncbi.nlm.nih.gov/Structure/cdd/TIGR00392" target="_blank">TIGR00392</a> - isoleucine--tRNA ligase
metG	<a href="https://www.ncbi.nlm.nih.gov/Structure/cdd/TIGR00398" target="_blank">TIGR00398</a> - methionine--tRNA ligase
hisS	<a href="https://www.ncbi.nlm.nih.gov/Structure/cdd/TIGR00442" target="_blank">TIGR00442</a> - histidine--tRNA ligase
argS	<a href="https://www.ncbi.nlm.nih.gov/Structure/cdd/TIGR00456" target="_blank">TIGR00456</a> - arginine--tRNA ligase
pheS	<a href="https://www.ncbi.nlm.nih.gov/Structure/cdd/TIGR00468" target="_blank">TIGR00468</a> - phenylalanine--tRNA ligase, alpha subunit
