#ID	ID_DISP	CAT_ID	CAT_DISP	SUBCAT(s)	SUBCATS(s)_COL_DISP
purB	purB	B_other	Bacteria Other
ffh	ffh	B_other	Bacteria Other
secA	secA	B_other	Bacteria Other
secE_bact	secE_bact	B_other	Bacteria Other
secG	secG	B_other	Bacteria Other
secY	secY	B_other	Bacteria Other
gyrA	gyrA	B_other	Bacteria Other
gyrB	gyrB	B_other	Bacteria Other
atpD	atpD	B_other	Bacteria Other
ATPsyn_F1gamma	ATPsyn_F1gamma	B_other	Bacteria Other
IMP_dehydrog	IMP_dehydrog	B_other	Bacteria Other
dnaG	dnaG	B_other	Bacteria Other
lepA	lepA	B_other	Bacteria Other
TypA_BipA	TypA_BipA	B_other	Bacteria Other
coaD_prev_kdtB	coaD_prev_kdtB	B_other	Bacteria Other
NusA	NusA	B_other	Bacteria Other
nusB	nusB	B_other	Bacteria Other
pyrH_bact	pyrH_bact	B_other	Bacteria Other
RNaseIII	RNaseIII	B_other	Bacteria Other
16S_RimM	16S_RimM	B_other	Bacteria Other
prok_dnaK	prok_dnaK	B_other	Bacteria Other
Obg_CgtA	Obg_CgtA	B_other	Bacteria Other
guanyl_kin	guanyl_kin	B_other	Bacteria Other
GTPase_EngA	GTPase_EngA	B_other	Bacteria Other
uS2_euk_arch	uS2_euk_arch	A_ribo_pol	Archaea Ribosomal + Polymerases
uS3_euk_arch	uS3_euk_arch	A_ribo_pol	Archaea Ribosomal + Polymerases
Ribosomal_S3Ae	Ribosomal_S3Ae	A_ribo_pol	Archaea Ribosomal + Polymerases
uS4_arch	uS4_arch	A_ribo_pol	Archaea Ribosomal + Polymerases
Ribosomal_S4e	Ribosomal_S4e	A_ribo_pol	Archaea Ribosomal + Polymerases
uS5_euk_arch	uS5_euk_arch	A_ribo_pol	Archaea Ribosomal + Polymerases
Ribosomal_S6e	Ribosomal_S6e	A_ribo_pol	Archaea Ribosomal + Polymerases
uS7_euk_arch	uS7_euk_arch	A_ribo_pol	Archaea Ribosomal + Polymerases
eS8	eS8	A_ribo_pol	Archaea Ribosomal + Polymerases
uS9_arch	uS9_arch	A_ribo_pol	Archaea Ribosomal + Polymerases
uS10_euk_arch	uS10_euk_arch	A_ribo_pol	Archaea Ribosomal + Polymerases
arch_S11P	arch_S11P	A_ribo_pol	Archaea Ribosomal + Polymerases
uS12_E_A	uS12_E_A	A_ribo_pol	Archaea Ribosomal + Polymerases
uS13_arch	uS13_arch	A_ribo_pol	Archaea Ribosomal + Polymerases
uS19_arch	uS19_arch	A_ribo_pol	Archaea Ribosomal + Polymerases
Ribosomal_S19e	Ribosomal_S19e	A_ribo_pol	Archaea Ribosomal + Polymerases
Ribosomal_S24e	Ribosomal_S24e	A_ribo_pol	Archaea Ribosomal + Polymerases
Ribosomal_S28e	Ribosomal_S28e	A_ribo_pol	Archaea Ribosomal + Polymerases
L3_arch	L3_arch	A_ribo_pol	Archaea Ribosomal + Polymerases
rpl4p_arch	rpl4p_arch	A_ribo_pol	Archaea Ribosomal + Polymerases
uL6_arch	uL6_arch	A_ribo_pol	Archaea Ribosomal + Polymerases
eL8_ribo	eL8_ribo	A_ribo_pol	Archaea Ribosomal + Polymerases
Ribosomal_L1	Ribosomal_L1	A_ribo_pol	Archaea Ribosomal + Polymerases
L13_A_E	L13_A_E	A_ribo_pol	Archaea Ribosomal + Polymerases
uL14_arch	uL14_arch	A_ribo_pol	Archaea Ribosomal + Polymerases
Ribosomal_L15e	Ribosomal_L15e	A_ribo_pol	Archaea Ribosomal + Polymerases
uL16_euk_arch	uL16_euk_arch	A_ribo_pol	Archaea Ribosomal + Polymerases
Ribosomal_L19e	Ribosomal_L19e	A_ribo_pol	Archaea Ribosomal + Polymerases
Ribosomal_L21e	Ribosomal_L21e	A_ribo_pol	Archaea Ribosomal + Polymerases
uL22_arch_euk	uL22_arch_euk	A_ribo_pol	Archaea Ribosomal + Polymerases
uL23_arch	uL23_arch	A_ribo_pol	Archaea Ribosomal + Polymerases
