#ID	ID_DISP	CAT_ID	CAT_DISP	SUBCAT(s)	SUBCAT(s)_COL_DISP
Chlorite_dismutase	CLD	Halo	Halogenated Compounds	Chlorite reduction	ClO2-R
HAD_type_II	dehII	Halo	Halogenated Compounds	Compound degradation	Halo
RDH	RDH	Halo	Halogenated Compounds	Compound degradation	Halo
pcrA	pcrA	Halo	Halogenated Compounds	Perchlorate reduction	KClO4-R
pcrB	pcrB	Halo	Halogenated Compounds	Perchlorate reduction	KClO4-R
arsC	arsC	As	Arsenic	Arsenate reduction	AsO4-R
ars_reduc_gluta	ars_reduc_gluta	As	Arsenic	Arsenate reduction	AsO4-R
arsC_pI258_fam	arsC_pI258	As	Arsenic	Arsenate reduction	AsO4-R
arsenite_ox_L	aioA	As	Arsenic	Arsenite oxidation	AsO3-R
arsenite_ox_S	aoxA	As	Arsenic	Arsenite oxidation	AsO3-R
Se_sel_red_Mo	ygfN	Se	Selenium	Selenate reduction	SeO4-R
ygfK	ygfK	Se	Selenium	Selenate reduction	SeO4-R
ygfM	ygfM	Se	Selenium	Selenate reduction	SeO4-R
ureA	ureA	CH4N2O	Urea	Urea hydrolysis	CH4N2O-H
ureB	ureB	CH4N2O	Urea	Urea hydrolysis	CH4N2O-H
ureC	ureC	CH4N2O	Urea	Urea hydrolysis	CH4N2O-H
mtrA	mtrA	Metal	Metals	Metal (Fe/Mn) oxidation	Fe/Mn-Ox
mtrC	mtrC	Metal	Metals	Metal (Fe/Mn) oxidation	Fe/Mn-Ox
nthA	nthA	CN	Nitriles	Nitrile hydratase	RCN-H
nthB	nthB	CN	Nitriles	Nitrile hydratase	RCN-H
